date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,conservative_portfolio_value,conservative_portfolio_return
2021-04-20,640271.9330226413,434935.7529317832,25785.063283808013,0.0,61132.47394919111,1162125.2231874238,-0.002646510665352708
2021-04-21,641084.0289719454,439051.14883383067,26021.116362334058,0.0,61584.42353308065,1167740.7177011906,0.004832090726303084
2021-04-22,641200.0358925771,435041.26133573614,25930.630521412248,0.0,61086.36675157154,1163258.2945012972,-0.0038385432073633208
2021-04-23,641547.914139828,439758.1587437528,26186.354008121754,0.0,61907.25286709846,1169399.679758801,0.005279468271607302
2021-04-26,640851.9201209188,440676.21888204454,26265.04054905029,0.0,62183.93911682359,1169977.1186688372,0.000493790891199275
2021-04-27,639285.9692070342,440581.271344626,26272.905112980916,0.0,61990.258742016,1168130.4044066572,-0.001578419126932351
2021-04-28,639575.8439939691,440454.64120760426,26355.526389972103,0.0,61898.02999210762,1168284.041583653,0.00013152399459537278
2021-04-29,640329.8414731942,443261.4922732966,26363.392589967618,0.0,61953.36724205265,1171908.0935785112,0.003102029871045353
2021-04-30,640155.8310922466,440349.13280365133,25969.97297384407,0.0,61612.099335387786,1168087.0362051297,-0.003260543548012862
2021-05-03,642289.6211561105,441298.7752801551,26304.37972935233,0.0,61316.95298101173,1171209.7291466298,0.002673339267290409
2021-05-04,640911.5862520873,438576.3108853469,25863.74818867166,0.0,60413.060990567275,1165764.7063166732,-0.004649058741958978
2021-05-05,641667.1988972835,438713.46846843936,26237.497396611743,0.0,60210.143386099604,1166828.3081484344,0.0009123640696944157
2021-05-06,642306.6621072034,442216.86883891054,26434.21456696553,0.0,60403.838115576444,1171361.5836286559,0.0038851264136838815
2021-05-07,642306.6621072034,445435.3263357351,26835.50692734416,0.0,60920.34782440184,1175497.8431946847,0.003531155216150772
2021-05-10,641027.8306971266,441024.42669350654,26630.92682912464,0.0,59721.31665691596,1168404.5008766737,-0.006034330355497053
2021-05-11,638818.9012120909,437088.43184068915,26324.05340966558,0.0,59509.17617745745,1161740.562639903,-0.005703451357616851
2021-05-12,637656.4092568163,427802.35547428275,26028.987470524247,0.0,58051.879389556925,1149539.6315911799,-0.010502285485322282
2021-05-13,638470.1678769729,432941.38675950223,26241.432132674392,0.0,58503.82179611184,1156156.8085652613,0.005756371326599785
2021-05-14,639516.6054067342,439589.3519815208,26725.34577004421,0.0,59656.74576597816,1165488.0489242775,0.008070912431503041
2021-05-17,639051.3901021695,438470.80248139397,26713.541561856262,0.0,59370.82946392757,1163606.5636093472,-0.0016143325679459641
2021-05-18,638586.4598268938,434693.05352427415,26737.14997823216,0.0,59011.10862994641,1159027.7719593465,-0.003934999847197473
2021-05-19,638179.5330119339,433553.4157115421,26446.012230893914,0.0,58955.76779133407,1157134.7287457038,-0.0016333027209887163
2021-05-20,639516.6054067342,438217.50878688676,26855.175699462736,0.0,60025.6715316136,1164614.9614246972,0.006464444021226257
2021-05-21,640156.0211117726,437858.74010889034,26870.917915843114,0.0,59684.414390950675,1164570.0935274567,-3.8525949542678184e-05
2021-05-24,640679.0973620086,442322.44408379094,27044.02176162633,0.0,60597.540022387904,1170643.1032298137,0.005214808225035172
2021-05-25,641957.786257441,441341.0521667565,27055.819425554713,0.0,60671.3230223146,1171025.9808720667,0.0003270660726539809
2021-05-26,642015.979737283,442216.86883891054,26977.141064950632,0.0,60745.11319957593,1171955.1028407202,0.0007934255804995516
2021-05-27,641144.0751421659,442448.9739594215,27059.757433747145,0.0,60551.40411542985,1171204.2106507644,-0.0006407175395505282
2021-05-28,641202.0310976002,443240.47080161894,27126.639766487733,0.0,60763.54459488836,1172332.6862605952,0.0009635173777284844
2021-06-01,642696.5479710703,442850.01952401927,27335.159508964574,0.0,60394.629595254846,1173276.3565993088,0.0008049509749008532
2021-06-02,641435.280065783,443546.46856740705,27374.500325331504,0.0,60532.96554278279,1172889.2145013043,-0.00032996667479656683
2021-06-03,641085.786652561,441900.2433656606,27181.71789104037,0.0,60053.35451125536,1170221.1024205172,-0.0022748202027942366
2021-06-04,642250.7963665553,445941.84688382206,27405.97657776781,0.0,60837.327594815055,1176435.9474229603,0.005310829713793597
2021-06-07,642600.2897797772,445509.1855605485,27531.86686292901,0.0,61104.81250155322,1176746.1547048078,0.0002636839536627189
2021-06-08,643008.071682604,445604.23335935816,27527.937035061037,0.0,61141.69682418195,1177281.9389012053,0.00045530991901299167
2021-06-09,644231.5124008477,444939.3666541825,27480.723474439023,0.0,61197.04842879622,1177848.6509582654,0.00048137327035613353
2021-06-10,645571.2925738937,447007.6254717406,27516.127918678416,0.0,61861.124137475024,1181956.1701017877,0.0034873064040787938
2021-06-11,646328.5678899426,447746.2845608023,27606.612123535335,0.0,62027.157419313975,1183708.6219935939,0.0014826707928223826
2021-06-14,645687.7270384589,448748.76479044184,27677.434100533243,0.0,62525.21420082308,1184639.140130257,0.0007861040456864643
2021-06-15,644406.2828598995,447925.7190304961,27681.370472660783,0.0,62193.169169149056,1182206.5415322054,-0.00205345114444222
