date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2020-11-24,174270.19117698623,441765.5578188037,169538.67632861147,96499.01581618344,322672.537965633,1204745.9791062176,0.011166042136797616
2020-11-25,174270.19117698623,441084.4272066724,169567.69602961408,96018.26544687696,324353.24005968316,1205293.8199198327,0.00045473554020203366
2020-11-27,174456.08908899588,442312.9462036186,170351.0929813307,96787.44091881173,327053.43947295396,1210961.008665711,0.004701914713422406
2020-11-30,174579.982574003,440354.7053964562,167478.53523764742,94383.78822605143,327866.25108702976,1204663.2625211878,-0.005200618434000881
2020-12-01,174857.77266199637,445171.0168251551,171714.8471416392,96242.6173819537,331034.7931164696,1219021.047127214,0.011918504575276545
2020-12-02,174424.75999666713,446107.6393358427,171569.7731775996,96082.37166568586,330456.20664048794,1218640.7508162833,-0.00031196861762716743
2020-12-03,174781.81422650555,445986.00609718624,172092.05417272623,97011.79285388849,330194.46360144834,1220066.1309517547,0.0011696475228788472
2020-12-04,174424.75999666713,449829.40686007845,173629.85291613024,97813.01482497623,332247.1525943508,1227944.1871922028,0.00645707313775068
2020-12-07,174611.08092833587,448904.97095977317,172614.3351678529,97748.90860616733,333418.21368881,1227297.5093509392,-0.0005266345555511309
2020-12-08,174673.1622680037,450218.56336422893,173223.62618404062,98069.40003870301,334575.3651087694,1230760.1169637456,0.0028213270103005783
2020-12-09,174331.67003410927,446180.56494383095,173136.5793515195,97011.79285388849,328734.1846310119,1219394.79181436,-0.009234395064266043
2020-12-10,174688.6473512824,446034.67491699324,172962.51022745064,100147.8534249448,330304.6428652494,1224138.3287859205,0.0038900748169528043
2020-12-11,174890.4149098972,445511.659752943,171801.88170367363,97579.45480959417,329202.54877918476,1218985.9599552928,-0.004208975987001207
2020-12-14,175154.30226451246,443516.97554721695,172004.98279923177,97155.34107492934,330786.85209191043,1218618.4537778008,-0.00030148516026018424
