date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2022-08-18,303324.7784330854,622469.8197041448,90933.40937762946,53671.52784560172,183526.50621077194,1253926.0415712334,0.0011328893583413269
2022-08-19,301906.61746769573,614105.00537207,89693.63212459223,53061.860220613846,180679.39393509843,1239446.5091200704,-0.01154735763603687
2022-08-22,299795.1272810355,601317.848662222,87627.34106570322,52704.47284318649,176352.9253335599,1217797.7151857072,-0.01746650119635451
2022-08-23,299511.5796918894,599863.1140929352,87693.46426433443,52977.76955903178,175934.23551831438,1215980.1631265052,-0.0014924909420813703
2022-08-24,298849.7778769767,601783.3655355673,87875.30306057024,53040.83548951474,176659.97170874124,1218209.2536713702,0.0018331635765616028
2022-08-25,300898.1883674118,610279.0824336221,88718.34112182025,54113.00588461113,179479.17850739972,1233487.796314865,0.012541804782264743
2022-08-26,299889.7343836185,589621.6976000011,86073.4917076869,53398.22699834926,172584.71699635006,1201567.867686006,-0.025877782272530014
2022-08-29,299416.99747281574,585723.010765486,86172.66996137415,53166.97974470218,170909.9254373621,1195389.5833817404,-0.005141852133715763
2022-08-30,299007.3153747287,579292.9825435216,85577.58735073158,52452.196727033144,169207.26069936488,1185537.3426953799,-0.008241865935027404
2022-08-31,297935.83146172896,574885.1748332265,84833.71445464967,52557.30798830713,167644.1448784469,1177856.1736163592,-0.006479061268164776
2022-09-01,297015.0281466423,576689.0583773567,83478.2281482674,52284.015403869016,167560.4069153978,1177026.736991533,-0.0007041917709524892
2022-09-02,296798.10764681554,570608.1791302357,82916.19404842131,51800.483771254236,165690.2554853004,1167813.2200820271,-0.007827788970245164
2022-09-06,294269.7440278635,568455.1918906,83345.981751005,51401.05519444303,165243.64942703786,1162715.6222909496,-0.004365079709167441
2022-09-07,295470.69684005826,578667.4937692398,84503.10500575323,51758.43844046321,168341.9648258568,1178741.6988813712,0.01378331578520009
2022-09-08,295249.45755834715,582449.8127052529,84155.97130145854,51548.21178650805,169263.10395140084,1182666.5573029676,0.0033297018552251867
2022-09-09,295028.19339312665,591498.3450401984,86635.51926327344,52305.03187215378,172528.8737443141,1197995.9633130664,0.012961731195863857
