date,ticker_symbol,close_price,dividend,trading_volume,daily_return,dividend_return,total_return
2021-11-04,BOND,104.0042495727539,0.0,204400,0.19131244526777724,0.0,0.19131244526777724
2021-11-05,BOND,104.44873046875,0.0,103300,0.42736801411673575,0.0,0.42736801411673575
2021-11-08,BOND,104.30686950683594,0.0,107700,-0.1358187517238485,0.0,-0.1358187517238485
2021-11-09,BOND,104.41091918945312,0.0,126400,0.09975343245285373,0.0,0.09975343245285373
2021-11-10,BOND,104.0042495727539,0.0,126800,-0.3894895475073046,0.0,-0.3894895475073046
2021-11-11,BOND,103.68272399902344,0.0,120300,-0.309146573386454,0.0,-0.309146573386454
2021-11-12,BOND,103.7205581665039,0.0,119100,0.03649032936368091,0.0,0.03649032936368091
2021-11-15,BOND,103.45577239990234,0.0,109400,-0.2552876414109728,0.0,-0.2552876414109728
2021-11-16,BOND,103.30445861816406,0.0,128100,-0.14625939010284306,0.0,-0.14625939010284306
2021-11-17,BOND,103.37067413330078,0.0,171400,0.06409744170041698,0.0,0.06409744170041698
2021-11-18,BOND,103.53141784667969,0.0,243200,0.1555022396116046,0.0,0.1555022396116046
2021-11-19,BOND,103.69219207763672,0.0,140700,0.15529028221668018,0.0,0.15529028221668018
2021-11-22,BOND,103.47469329833984,0.0,238900,-0.20975424951381605,0.0,-0.20975424951381605
2021-11-23,BOND,103.03020477294922,0.0,184400,-0.42956254444656006,0.0,-0.42956254444656006
2021-11-24,BOND,103.08695220947266,0.0,161400,0.055078446799639025,0.0,0.055078446799639025
2021-11-26,BOND,103.56925201416016,0.0,143200,0.46785727422367085,0.0,0.46785727422367085
2021-11-29,BOND,103.83403015136719,0.0,234500,0.2556532291754232,0.0,0.2556532291754232
2021-11-30,BOND,103.83403015136719,0.0,299300,0.0,0.0,0.0
2021-12-01,BOND,104.1088638305664,0.23,201200,0.2646855552062899,0.22092259154255792,0.4856081467488478
2021-12-02,BOND,104.04251861572266,0.0,198400,-0.06372676869447202,0.0,-0.06372676869447202
2021-12-03,BOND,104.40263366699219,0.0,172100,0.34612296593818925,0.0,0.34612296593818925
2021-12-06,BOND,104.1846694946289,0.0,136800,-0.20877267623200524,0.0,-0.20877267623200524
2021-12-07,BOND,103.94776916503906,0.0,124100,-0.22738501810197764,0.0,-0.22738501810197764
2021-12-08,BOND,103.54974365234375,0.0,215600,-0.3829091435943788,0.0,-0.3829091435943788
2021-12-09,BOND,103.70138549804688,0.0,599100,0.14644347765093713,0.0,0.14644347765093713
2021-12-10,BOND,103.7392807006836,0.0,164300,0.03654261942087622,0.0,0.03654261942087622
2021-12-13,BOND,104.0993881225586,0.0,204300,0.3471273556580945,0.0,0.3471273556580945
2021-12-14,BOND,104.12779998779297,0.0,162600,0.027293018476659547,0.0,0.027293018476659547
2021-12-15,BOND,104.052001953125,0.0,198300,-0.07279327391613855,0.0,-0.07279327391613855
2021-12-16,BOND,104.04251861572266,0.0,178100,-0.009114036466706388,0.0,-0.009114036466706388
2021-12-17,BOND,104.08991241455078,0.0,159800,0.045552337120136066,0.0,0.045552337120136066
2021-12-20,BOND,104.33629608154297,0.0,292400,0.2367027325481219,0.0,0.2367027325481219
2021-12-21,BOND,104.08043670654297,0.0,240500,-0.24522566413517355,0.0,-0.24522566413517355
2021-12-22,BOND,104.07093811035156,0.0,531000,-0.009126207087495342,0.0,-0.009126207087495342
2021-12-23,BOND,104.00463104248047,0.0,243900,-0.06371333733994344,0.0,-0.06371333733994344
2021-12-27,BOND,104.01409912109375,0.0,212600,0.009103516370734255,0.0,0.009103516370734255
2021-12-28,BOND,104.0993881225586,0.0,940400,0.0819975389735772,0.0,0.0819975389735772
2021-12-29,BOND,103.77718353271484,0.0,255300,-0.30951631479755326,0.0,-0.30951631479755326
2021-12-30,BOND,103.77718353271484,0.23,175600,0.0,0.22162867806823314,0.22162867806823314
2021-12-31,BOND,103.90062713623047,0.0,257200,0.11895062027456049,0.0,0.11895062027456049
2022-01-03,BOND,103.45431518554688,0.0,600400,-0.4295565512789534,0.0,-0.4295565512789534
2022-01-04,BOND,103.28337860107422,0.0,410000,-0.16522905223051998,0.0,-0.16522905223051998
2022-01-05,BOND,102.90349578857422,0.0,302000,-0.367806337907739,0.0,-0.367806337907739
2022-01-06,BOND,102.91301727294922,0.0,524000,0.009252828878203445,0.0,0.009252828878203445
2022-01-07,BOND,102.59962463378906,0.0,305800,-0.3045218646431924,0.0,-0.3045218646431924
2022-01-10,BOND,102.60912322998047,0.0,346400,0.009257924895256231,0.0,0.009257924895256231
2022-01-11,BOND,102.58063507080078,0.0,131300,-0.02776376825268656,0.0,-0.02776376825268656
2022-01-12,BOND,102.58063507080078,0.0,420800,0.0,0.0,0.0
2022-01-13,BOND,102.67559814453125,0.0,210300,0.09257407469247525,0.0,0.09257407469247525
2022-01-14,BOND,102.38121032714844,0.0,312300,-0.2867164376957554,0.0,-0.2867164376957554
2022-01-18,BOND,101.73544311523438,0.0,469400,-0.6307477806235973,0.0,-0.6307477806235973
2022-01-19,BOND,101.88739013671875,0.0,402100,0.14935504955952972,0.0,0.14935504955952972
2022-01-20,BOND,101.90637969970703,0.0,389000,0.018637795082199204,0.0,0.018637795082199204
